"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q2",5.704367,
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q3",5.668702,
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q4",5.716777,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q1",5.7865,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q2",5.60898,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q3",5.536902,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q4",5.455117,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q2",6.169813,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q3",6.147885,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q4",5.786056,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q1",5.665127,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q2",5.452914,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q3",5.460666,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q4",5.419,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q2",8.295185,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q3",7.692155,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q4",7.146364,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q1",7.608029,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q2",7.356059,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q3",7.059406,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.327773,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q2",6.933333,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q3",7,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q4",6.866667,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q1",6.633333,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q2",6.466667,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q3",6.233333,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q4",5.966667,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q1",5.833333,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q2",4.055272,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q3",3.947794,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q4",3.624538,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q1",3.317088,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q2",3.056564,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q3",2.750971,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q4",2.435675,
"DNK","UNEMP","TOT","PC_LF","Q","2016-Q2",6.155447,
"DNK","UNEMP","TOT","PC_LF","Q","2016-Q3",6.280533,
"DNK","UNEMP","TOT","PC_LF","Q","2016-Q4",6.386795,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q1",6.040455,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q2",5.704454,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q3",5.842176,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q4",5.381249,
"FIN","UNEMP","TOT","PC_LF","Q","2016-Q2",8.831605,
"FIN","UNEMP","TOT","PC_LF","Q","2016-Q3",8.617969,
"FIN","UNEMP","TOT","PC_LF","Q","2016-Q4",8.757704,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q1",8.799134,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q2",8.77096,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q3",8.710596,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q4",8.285904,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q2",9.998489,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q3",10.01061,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q4",9.975846,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q1",9.59394,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q2",9.456584,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q3",9.631324,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q4",8.917618,
"DEU","UNEMP","TOT","PC_LF","Q","2016-Q2",4.221105,
"DEU","UNEMP","TOT","PC_LF","Q","2016-Q3",4.065003,
"DEU","UNEMP","TOT","PC_LF","Q","2016-Q4",3.892888,
"DEU","UNEMP","TOT","PC_LF","Q","2017-Q1",3.878874,
"DEU","UNEMP","TOT","PC_LF","Q","2017-Q2",3.783562,
"DEU","UNEMP","TOT","PC_LF","Q","2017-Q3",3.690799,
"DEU","UNEMP","TOT","PC_LF","Q","2017-Q4",3.629128,
"GRC","UNEMP","TOT","PC_LF","Q","2016-Q2",23.59822,
"GRC","UNEMP","TOT","PC_LF","Q","2016-Q3",23.39062,
"GRC","UNEMP","TOT","PC_LF","Q","2016-Q4",23.18605,
"GRC","UNEMP","TOT","PC_LF","Q","2017-Q1",22.39969,
"GRC","UNEMP","TOT","PC_LF","Q","2017-Q2",21.60753,
"GRC","UNEMP","TOT","PC_LF","Q","2017-Q3",21.02736,
"GRC","UNEMP","TOT","PC_LF","Q","2017-Q4",20.91322,
"HUN","UNEMP","TOT","PC_LF","Q","2016-Q2",5.173389,
"HUN","UNEMP","TOT","PC_LF","Q","2016-Q3",4.988137,
"HUN","UNEMP","TOT","PC_LF","Q","2016-Q4",4.564794,
"HUN","UNEMP","TOT","PC_LF","Q","2017-Q1",4.32637,
"HUN","UNEMP","TOT","PC_LF","Q","2017-Q2",4.296423,
"HUN","UNEMP","TOT","PC_LF","Q","2017-Q3",4.109277,
"HUN","UNEMP","TOT","PC_LF","Q","2017-Q4",3.892575,
"ISL","UNEMP","TOT","PC_LF","Q","2016-Q2",2.920393,
"ISL","UNEMP","TOT","PC_LF","Q","2016-Q3",3.155125,
"ISL","UNEMP","TOT","PC_LF","Q","2016-Q4",2.714858,
"ISL","UNEMP","TOT","PC_LF","Q","2017-Q1",2.907349,
"ISL","UNEMP","TOT","PC_LF","Q","2017-Q2",2.834969,
"ISL","UNEMP","TOT","PC_LF","Q","2017-Q3",2.446491,
"ISL","UNEMP","TOT","PC_LF","Q","2017-Q4",2.790937,
"IRL","UNEMP","TOT","PC_LF","Q","2016-Q2",8.820457,
"IRL","UNEMP","TOT","PC_LF","Q","2016-Q3",8.240067,
"IRL","UNEMP","TOT","PC_LF","Q","2016-Q4",7.554143,
"IRL","UNEMP","TOT","PC_LF","Q","2017-Q1",7.219805,
"IRL","UNEMP","TOT","PC_LF","Q","2017-Q2",6.713587,"B"
"IRL","UNEMP","TOT","PC_LF","Q","2017-Q3",6.611486,
"IRL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.302473,
"ITA","UNEMP","TOT","PC_LF","Q","2016-Q2",11.73265,
"ITA","UNEMP","TOT","PC_LF","Q","2016-Q3",11.79825,
"ITA","UNEMP","TOT","PC_LF","Q","2016-Q4",11.76151,
"ITA","UNEMP","TOT","PC_LF","Q","2017-Q1",11.49795,
"ITA","UNEMP","TOT","PC_LF","Q","2017-Q2",11.16237,
"ITA","UNEMP","TOT","PC_LF","Q","2017-Q3",11.34393,
"ITA","UNEMP","TOT","PC_LF","Q","2017-Q4",10.83685,
"JPN","UNEMP","TOT","PC_LF","Q","2016-Q2",3.133333,
"JPN","UNEMP","TOT","PC_LF","Q","2016-Q3",3.033333,
"JPN","UNEMP","TOT","PC_LF","Q","2016-Q4",3.066667,
"JPN","UNEMP","TOT","PC_LF","Q","2017-Q1",2.9,
"JPN","UNEMP","TOT","PC_LF","Q","2017-Q2",2.866667,
"JPN","UNEMP","TOT","PC_LF","Q","2017-Q3",2.8,
"JPN","UNEMP","TOT","PC_LF","Q","2017-Q4",2.733333,
"KOR","UNEMP","TOT","PC_LF","Q","2016-Q2",3.633333,
"KOR","UNEMP","TOT","PC_LF","Q","2016-Q3",3.766667,
"KOR","UNEMP","TOT","PC_LF","Q","2016-Q4",3.633333,
"KOR","UNEMP","TOT","PC_LF","Q","2017-Q1",3.666667,
"KOR","UNEMP","TOT","PC_LF","Q","2017-Q2",3.766667,
"KOR","UNEMP","TOT","PC_LF","Q","2017-Q3",3.633333,
"KOR","UNEMP","TOT","PC_LF","Q","2017-Q4",3.666667,
"LUX","UNEMP","TOT","PC_LF","Q","2016-Q2",6.262015,
"LUX","UNEMP","TOT","PC_LF","Q","2016-Q3",7.078217,
"LUX","UNEMP","TOT","PC_LF","Q","2016-Q4",5.892056,
"LUX","UNEMP","TOT","PC_LF","Q","2017-Q1",6.114032,
"LUX","UNEMP","TOT","PC_LF","Q","2017-Q2",5.331269,
"LUX","UNEMP","TOT","PC_LF","Q","2017-Q3",5.453516,
"LUX","UNEMP","TOT","PC_LF","Q","2017-Q4",5.171206,
"MEX","UNEMP","TOT","PC_LF","Q","2016-Q2",3.975094,
"MEX","UNEMP","TOT","PC_LF","Q","2016-Q3",3.802832,
"MEX","UNEMP","TOT","PC_LF","Q","2016-Q4",3.649515,
"MEX","UNEMP","TOT","PC_LF","Q","2017-Q1",3.515155,
"MEX","UNEMP","TOT","PC_LF","Q","2017-Q2",3.467385,
"MEX","UNEMP","TOT","PC_LF","Q","2017-Q3",3.35866,
"MEX","UNEMP","TOT","PC_LF","Q","2017-Q4",3.410744,
"NLD","UNEMP","TOT","PC_LF","Q","2016-Q2",6.182843,
"NLD","UNEMP","TOT","PC_LF","Q","2016-Q3",5.859148,
"NLD","UNEMP","TOT","PC_LF","Q","2016-Q4",5.529872,
"NLD","UNEMP","TOT","PC_LF","Q","2017-Q1",5.254455,
"NLD","UNEMP","TOT","PC_LF","Q","2017-Q2",4.963541,
"NLD","UNEMP","TOT","PC_LF","Q","2017-Q3",4.688425,
"NLD","UNEMP","TOT","PC_LF","Q","2017-Q4",4.451939,
"NZL","UNEMP","TOT","PC_LF","Q","2016-Q2",5,
"NZL","UNEMP","TOT","PC_LF","Q","2016-Q3",4.9,
"NZL","UNEMP","TOT","PC_LF","Q","2016-Q4",5.3,
"NZL","UNEMP","TOT","PC_LF","Q","2017-Q1",4.9,
"NZL","UNEMP","TOT","PC_LF","Q","2017-Q2",4.8,
"NZL","UNEMP","TOT","PC_LF","Q","2017-Q3",4.6,
"NZL","UNEMP","TOT","PC_LF","Q","2017-Q4",4.5,
"NOR","UNEMP","TOT","PC_LF","Q","2016-Q2",4.68282,
"NOR","UNEMP","TOT","PC_LF","Q","2016-Q3",4.801182,
"NOR","UNEMP","TOT","PC_LF","Q","2016-Q4",4.547626,
"NOR","UNEMP","TOT","PC_LF","Q","2017-Q1",4.371228,
"NOR","UNEMP","TOT","PC_LF","Q","2017-Q2",4.262037,
"NOR","UNEMP","TOT","PC_LF","Q","2017-Q3",4.047244,
"NOR","UNEMP","TOT","PC_LF","Q","2017-Q4",3.965,
"POL","UNEMP","TOT","PC_LF","Q","2016-Q2",6.318512,
"POL","UNEMP","TOT","PC_LF","Q","2016-Q3",6.095086,
"POL","UNEMP","TOT","PC_LF","Q","2016-Q4",5.670484,
"POL","UNEMP","TOT","PC_LF","Q","2017-Q1",5.080951,
"POL","UNEMP","TOT","PC_LF","Q","2017-Q2",5.066789,
"POL","UNEMP","TOT","PC_LF","Q","2017-Q3",4.824793,
"POL","UNEMP","TOT","PC_LF","Q","2017-Q4",4.574796,
"PRT","UNEMP","TOT","PC_LF","Q","2016-Q2",11.21474,
"PRT","UNEMP","TOT","PC_LF","Q","2016-Q3",10.8278,
"PRT","UNEMP","TOT","PC_LF","Q","2016-Q4",10.36275,
"PRT","UNEMP","TOT","PC_LF","Q","2017-Q1",9.657351,
"PRT","UNEMP","TOT","PC_LF","Q","2017-Q2",9.151423,
"PRT","UNEMP","TOT","PC_LF","Q","2017-Q3",8.663492,
"PRT","UNEMP","TOT","PC_LF","Q","2017-Q4",7.998077,
"SVK","UNEMP","TOT","PC_LF","Q","2016-Q2",9.892612,
"SVK","UNEMP","TOT","PC_LF","Q","2016-Q3",9.515507,
"SVK","UNEMP","TOT","PC_LF","Q","2016-Q4",9.005696,
"SVK","UNEMP","TOT","PC_LF","Q","2017-Q1",8.64255,
"SVK","UNEMP","TOT","PC_LF","Q","2017-Q2",8.317097,
"SVK","UNEMP","TOT","PC_LF","Q","2017-Q3",7.925944,
"SVK","UNEMP","TOT","PC_LF","Q","2017-Q4",7.635929,
"ESP","UNEMP","TOT","PC_LF","Q","2016-Q2",20.08078,
"ESP","UNEMP","TOT","PC_LF","Q","2016-Q3",19.37252,
"ESP","UNEMP","TOT","PC_LF","Q","2016-Q4",18.64789,
"ESP","UNEMP","TOT","PC_LF","Q","2017-Q1",18.16276,
"ESP","UNEMP","TOT","PC_LF","Q","2017-Q2",17.32631,
"ESP","UNEMP","TOT","PC_LF","Q","2017-Q3",16.82737,
"ESP","UNEMP","TOT","PC_LF","Q","2017-Q4",16.57454,
"SWE","UNEMP","TOT","PC_LF","Q","2016-Q2",6.948908,
"SWE","UNEMP","TOT","PC_LF","Q","2016-Q3",6.922754,
"SWE","UNEMP","TOT","PC_LF","Q","2016-Q4",6.91628,
"SWE","UNEMP","TOT","PC_LF","Q","2017-Q1",6.764029,
"SWE","UNEMP","TOT","PC_LF","Q","2017-Q2",6.757636,
"SWE","UNEMP","TOT","PC_LF","Q","2017-Q3",6.765672,
"SWE","UNEMP","TOT","PC_LF","Q","2017-Q4",6.586978,
"CHE","UNEMP","TOT","PC_LF","Q","2016-Q2",4.928693,
"CHE","UNEMP","TOT","PC_LF","Q","2016-Q3",4.925498,
"CHE","UNEMP","TOT","PC_LF","Q","2016-Q4",4.808444,
"CHE","UNEMP","TOT","PC_LF","Q","2017-Q1",4.951918,
"CHE","UNEMP","TOT","PC_LF","Q","2017-Q2",4.681781,
"CHE","UNEMP","TOT","PC_LF","Q","2017-Q3",4.804961,
"CHE","UNEMP","TOT","PC_LF","Q","2017-Q4",4.749246,
"TUR","UNEMP","TOT","PC_LF","Q","2016-Q2",10.32837,
"TUR","UNEMP","TOT","PC_LF","Q","2016-Q3",11.33588,
"TUR","UNEMP","TOT","PC_LF","Q","2016-Q4",11.74359,
"TUR","UNEMP","TOT","PC_LF","Q","2017-Q1",11.57299,
"TUR","UNEMP","TOT","PC_LF","Q","2017-Q2",11.13321,
"TUR","UNEMP","TOT","PC_LF","Q","2017-Q3",10.51793,
"TUR","UNEMP","TOT","PC_LF","Q","2017-Q4",10.07277,
"GBR","UNEMP","TOT","PC_LF","Q","2016-Q2",4.840254,
"GBR","UNEMP","TOT","PC_LF","Q","2016-Q3",4.780928,
"GBR","UNEMP","TOT","PC_LF","Q","2016-Q4",4.652104,
"GBR","UNEMP","TOT","PC_LF","Q","2017-Q1",4.517216,
"GBR","UNEMP","TOT","PC_LF","Q","2017-Q2",4.345371,
"GBR","UNEMP","TOT","PC_LF","Q","2017-Q3",4.24053,
"GBR","UNEMP","TOT","PC_LF","Q","2017-Q4",4.236871,
"USA","UNEMP","TOT","PC_LF","Q","2016-Q2",4.866667,
"USA","UNEMP","TOT","PC_LF","Q","2016-Q3",4.933333,
"USA","UNEMP","TOT","PC_LF","Q","2016-Q4",4.733333,
"USA","UNEMP","TOT","PC_LF","Q","2017-Q1",4.666667,
"USA","UNEMP","TOT","PC_LF","Q","2017-Q2",4.333333,
"USA","UNEMP","TOT","PC_LF","Q","2017-Q3",4.3,
"USA","UNEMP","TOT","PC_LF","Q","2017-Q4",4.1,
"USA","UNEMP","TOT","PC_LF","Q","2018-Q1",4.1,
"CHL","UNEMP","TOT","PC_LF","Q","2016-Q2",6.567019,
"CHL","UNEMP","TOT","PC_LF","Q","2016-Q3",6.555587,
"CHL","UNEMP","TOT","PC_LF","Q","2016-Q4",6.540742,
"CHL","UNEMP","TOT","PC_LF","Q","2017-Q1",6.626635,
"CHL","UNEMP","TOT","PC_LF","Q","2017-Q2",6.696011,
"CHL","UNEMP","TOT","PC_LF","Q","2017-Q3",6.506729,
"CHL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.849292,
"EST","UNEMP","TOT","PC_LF","Q","2016-Q2",6.353253,
"EST","UNEMP","TOT","PC_LF","Q","2016-Q3",7.801575,
"EST","UNEMP","TOT","PC_LF","Q","2016-Q4",6.68009,
"EST","UNEMP","TOT","PC_LF","Q","2017-Q1",5.390745,
"EST","UNEMP","TOT","PC_LF","Q","2017-Q2",6.865417,
"EST","UNEMP","TOT","PC_LF","Q","2017-Q3",5.427674,
"EST","UNEMP","TOT","PC_LF","Q","2017-Q4",5.347238,
"ISR","UNEMP","TOT","PC_LF","Q","2016-Q2",4.707492,
"ISR","UNEMP","TOT","PC_LF","Q","2016-Q3",4.772188,
"ISR","UNEMP","TOT","PC_LF","Q","2016-Q4",4.433505,
"ISR","UNEMP","TOT","PC_LF","Q","2017-Q1",4.325487,
"ISR","UNEMP","TOT","PC_LF","Q","2017-Q2",4.392956,
"ISR","UNEMP","TOT","PC_LF","Q","2017-Q3",4.09616,
"ISR","UNEMP","TOT","PC_LF","Q","2017-Q4",4.151376,
"RUS","UNEMP","TOT","PC_LF","Q","2016-Q2",5.766631,
"RUS","UNEMP","TOT","PC_LF","Q","2016-Q3",5.532752,
"RUS","UNEMP","TOT","PC_LF","Q","2016-Q4",5.373054,
"RUS","UNEMP","TOT","PC_LF","Q","2017-Q1",5.171059,
"RUS","UNEMP","TOT","PC_LF","Q","2017-Q2",5.301201,
"RUS","UNEMP","TOT","PC_LF","Q","2017-Q3",5.278428,
"RUS","UNEMP","TOT","PC_LF","Q","2017-Q4",5.096796,
"SVN","UNEMP","TOT","PC_LF","Q","2016-Q2",7.956221,
"SVN","UNEMP","TOT","PC_LF","Q","2016-Q3",7.665333,
"SVN","UNEMP","TOT","PC_LF","Q","2016-Q4",8.052251,
"SVN","UNEMP","TOT","PC_LF","Q","2017-Q1",7.254172,
"SVN","UNEMP","TOT","PC_LF","Q","2017-Q2",6.616353,
"SVN","UNEMP","TOT","PC_LF","Q","2017-Q3",6.539184,
"SVN","UNEMP","TOT","PC_LF","Q","2017-Q4",5.868317,
"ZAF","UNEMP","TOT","PC_LF","Q","2016-Q2",26.38824,
"ZAF","UNEMP","TOT","PC_LF","Q","2016-Q3",26.83339,
"ZAF","UNEMP","TOT","PC_LF","Q","2016-Q4",27.36299,
"ZAF","UNEMP","TOT","PC_LF","Q","2017-Q1",27.20728,
"ZAF","UNEMP","TOT","PC_LF","Q","2017-Q2",27.52325,
"ZAF","UNEMP","TOT","PC_LF","Q","2017-Q3",27.51225,
"ZAF","UNEMP","TOT","PC_LF","Q","2017-Q4",27.59373,
"EU28","UNEMP","TOT","PC_LF","Q","2016-Q2",8.651972,
"EU28","UNEMP","TOT","PC_LF","Q","2016-Q3",8.448712,
"EU28","UNEMP","TOT","PC_LF","Q","2016-Q4",8.1896,
"EU28","UNEMP","TOT","PC_LF","Q","2017-Q1",8.002501,
"EU28","UNEMP","TOT","PC_LF","Q","2017-Q2",7.710638,
"EU28","UNEMP","TOT","PC_LF","Q","2017-Q3",7.519155,
"EU28","UNEMP","TOT","PC_LF","Q","2017-Q4",7.253224,
"OECD","UNEMP","TOT","PC_LF","Q","2016-Q2",6.353121,
"OECD","UNEMP","TOT","PC_LF","Q","2016-Q3",6.322818,
"OECD","UNEMP","TOT","PC_LF","Q","2016-Q4",6.183953,
"OECD","UNEMP","TOT","PC_LF","Q","2017-Q1",6.0241,
"OECD","UNEMP","TOT","PC_LF","Q","2017-Q2",5.817843,"B"
"OECD","UNEMP","TOT","PC_LF","Q","2017-Q3",5.704058,
"OECD","UNEMP","TOT","PC_LF","Q","2017-Q4",5.510375,
"EA19","UNEMP","TOT","PC_LF","Q","2016-Q2",10.11794,
"EA19","UNEMP","TOT","PC_LF","Q","2016-Q3",9.908278,
"EA19","UNEMP","TOT","PC_LF","Q","2016-Q4",9.688775,
"EA19","UNEMP","TOT","PC_LF","Q","2017-Q1",9.446685,
"EA19","UNEMP","TOT","PC_LF","Q","2017-Q2",9.145054,
"EA19","UNEMP","TOT","PC_LF","Q","2017-Q3",8.923938,
"EA19","UNEMP","TOT","PC_LF","Q","2017-Q4",8.657155,
"COL","UNEMP","TOT","PC_LF","Q","2016-Q2",9.063745,
"COL","UNEMP","TOT","PC_LF","Q","2016-Q3",9.263911,
"COL","UNEMP","TOT","PC_LF","Q","2016-Q4",9.185505,
"COL","UNEMP","TOT","PC_LF","Q","2017-Q1",9.439949,
"COL","UNEMP","TOT","PC_LF","Q","2017-Q2",9.212368,
"COL","UNEMP","TOT","PC_LF","Q","2017-Q3",9.481038,
"COL","UNEMP","TOT","PC_LF","Q","2017-Q4",9.551113,
"LVA","UNEMP","TOT","PC_LF","Q","2016-Q2",9.502038,
"LVA","UNEMP","TOT","PC_LF","Q","2016-Q3",9.612268,
"LVA","UNEMP","TOT","PC_LF","Q","2016-Q4",9.295163,
"LVA","UNEMP","TOT","PC_LF","Q","2017-Q1",9.286847,
"LVA","UNEMP","TOT","PC_LF","Q","2017-Q2",8.829044,
"LVA","UNEMP","TOT","PC_LF","Q","2017-Q3",8.584145,
"LVA","UNEMP","TOT","PC_LF","Q","2017-Q4",8.156181,
