"locationname","location","party","partyname","measure","Measure","frequency","Frequency","entityname","entity","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","amount","Flag Codes","Flags"
"NZL","New Zealand","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.159571,,
"NZL","New Zealand","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.0336,,
"NZL","New Zealand","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.698842,,
"NZL","New Zealand","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.596947,,
"NZL","New Zealand","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.404699,,
"NZL","New Zealand","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.289983,,
"NOR","Norway","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.146601,,
"NOR","Norway","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.292574,,
"NOR","Norway","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.806597,,
"NOR","Norway","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.731059,,
"NOR","Norway","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.494187,,
"NOR","Norway","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.522942,,
"POL","Poland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.26936,,
"POL","Poland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.005841,,
"POL","Poland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.996915,,
"POL","Poland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.781669,,
"POL","Poland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.121662,,
"POL","Poland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.88451,,
"PRT","Portugal","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,8.170594,,
"PRT","Portugal","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.44822,,
"PRT","Portugal","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.90483,,
"PRT","Portugal","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.677425,,
"PRT","Portugal","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.54312,,
"PRT","Portugal","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.065749,,
"SVK","Slovak Republic","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.694735,,
"SVK","Slovak Republic","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.611794,,
"SVK","Slovak Republic","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.216884,,
"SVK","Slovak Republic","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.763409,,
"SVK","Slovak Republic","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.434134,,
"SVK","Slovak Republic","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.147242,,
"ESP","Spain","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,17.83668,,
"ESP","Spain","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,17.44228,,
"ESP","Spain","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,13.43385,,
"ESP","Spain","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,13.24495,,
"ESP","Spain","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,15.50766,,
"ESP","Spain","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,15.217,,
"SWE","Sweden","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.296183,,
"SWE","Sweden","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.291504,,
"SWE","Sweden","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.614977,,
"SWE","Sweden","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.453208,,
"SWE","Sweden","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.463271,,
"SWE","Sweden","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.376256,,
"CHE","Switzerland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.085527,,
"CHE","Switzerland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.920888,,
"CHE","Switzerland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.194826,,
"CHE","Switzerland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.255323,,
"CHE","Switzerland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.61278,,
"CHE","Switzerland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.567035,,
"TUR","Turkey","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,12.24148,,
"TUR","Turkey","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,11.48028,,
"TUR","Turkey","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.635669,,
"TUR","Turkey","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.793938,,
"TUR","Turkey","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,9.123918,,
"TUR","Turkey","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,8.992167,,
"GBR","United Kingdom","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.287955,,
"GBR","United Kingdom","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.266782,,
"GBR","United Kingdom","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.881445,,
"GBR","United Kingdom","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.840216,,
"GBR","United Kingdom","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.072864,,
"GBR","United Kingdom","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.041205,,
"USA","United States","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.8,,
"USA","United States","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.566667,,
"USA","United States","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.7,,
"USA","United States","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.266667,,
"USA","United States","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.733333,,
"USA","United States","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.4,,
"CHL","Chile","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.311759,,
"CHL","Chile","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.233456,,
"CHL","Chile","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.051907,,
"CHL","Chile","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.929022,,
"CHL","Chile","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.165059,,
"CHL","Chile","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.499739,,
"EST","Estonia","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.52599,,
"EST","Estonia","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.497081,,
"EST","Estonia","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.580013,,
"EST","Estonia","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.844269,,
"EST","Estonia","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.018478,,
"EST","Estonia","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.148856,,
"ISR","Israel","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.690753,,
"ISR","Israel","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.717719,,
"ISR","Israel","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.448291,,
"ISR","Israel","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.689455,,
"ISR","Israel","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.565043,,
"ISR","Israel","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.703109,,
"SVN","Slovenia","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.380544,,
"SVN","Slovenia","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.542155,,
"SVN","Slovenia","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.098138,,
"SVN","Slovenia","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.406677,,
"SVN","Slovenia","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.19519,,
"SVN","Slovenia","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.424052,,
"EU28","European Union (28 countries)","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.526321,,
"EU28","European Union (28 countries)","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.327023,,
"EU28","European Union (28 countries)","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.46359,,
"EU28","European Union (28 countries)","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.197323,,
"EU28","European Union (28 countries)","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.961914,,
"EU28","European Union (28 countries)","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.731474,,
"OECD","OECD - Total","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.632189,,
"OECD","OECD - Total","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.393317,,
"OECD","OECD - Total","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.2759,,
"OECD","OECD - Total","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.047961,,
"OECD","OECD - Total","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.988169,,
"OECD","OECD - Total","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.772861,,
"EA19","Euro area (19 countries)","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,8.555238,,
"EA19","Euro area (19 countries)","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,8.216949,,
"EA19","Euro area (19 countries)","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.94348,,
"EA19","Euro area (19 countries)","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.699906,,
"EA19","Euro area (19 countries)","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,9.25631,,
"EA19","Euro area (19 countries)","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,8.809259,,
"LVA","Latvia","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.726528,,
"LVA","Latvia","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.396101,,
"LVA","Latvia","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,8.487821,,
"LVA","Latvia","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,8.043404,,
"LVA","Latvia","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,8.114341,,
"LVA","Latvia","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.726089,,
